k,γ,α,xE,expP,xP
100,10,0.0,46.42584791259296,0.7506906624926526,29.64649652553509
100,20,0.0,20.450588177640583,0.8679188894013121,75.19463010045321
100,30,0.0,6.344649176655114,0.983585680293853,116.75439923792472
100,40,0.0,5.912997614879809,1.083362328501874,121.82962262313866
100,50,0.0,4.953103302888763,1.1045263750735583,125.47959166963788
100,60,0.0,7.550867049216094,1.1218318436745054,126.46868546092188
100,70,0.0,9.634981584415357,1.2195567207252127,118.574136797131
100,80,0.0,9.856123136457535,1.267739757697174,106.99550380107448
100,90,0.0,11.132093044575022,1.316065565334986,79.8620228040285
100,100,0.0,14.72399615958888,1.415912749429853,93.8183142620462
200,10,0.0,61.554172868499656,0.9069235556218952,93.88569915095788
200,20,0.0,43.86579705939401,1.1036029909792513,148.84536227777411
200,30,0.0,21.70084588266135,1.243160959248376,168.48682368370578
200,40,0.0,8.89987705919438,1.349178284903174,159.16121686057468
200,50,0.0,10.713958535202623,1.4163657402728262,152.90207179652668
200,60,0.0,17.403047842049947,1.5711905066453673,158.25044877154258
200,70,0.0,13.820343533592396,1.5928021965017751,123.13488739966824
200,80,0.0,21.131267145191224,1.7090551246703307,120.27165189678962
200,90,0.0,20.076127419107888,1.7194685339706737,111.67518306960623
200,100,0.0,17.247437391681764,1.7497314986485548,71.09760096275797
300,10,0.0,68.39752875417464,1.0013746420351053,200.3623253251041
300,20,0.0,49.0021663664605,1.2384657534946262,213.43179178061615
300,30,0.0,26.57404216254425,1.3368726337143786,202.2175437914185
300,40,0.0,26.76712049775134,1.5378700750801984,221.83217140312647
300,50,0.0,23.06418086220561,1.6317729333934767,199.92342557437632
300,60,0.0,17.81917391325111,1.6471671014929457,159.31631007615331
300,70,0.0,20.307739071607195,1.850267005510053,133.16286677771564
300,80,0.0,15.751186173126271,1.855121226617117,77.48461102140615
300,90,0.0,33.13764574267133,1.8501439433545244,79.03961419608792
300,100,0.0,30.208845634105383,2.173062765276034,93.22971851564932
400,10,0.0,71.68648259947962,1.059632299009358,300.4394551424022
400,20,0.0,48.14226299708773,1.330055932547126,262.26610447427583
400,30,0.0,34.13996400632408,1.5019038419016275,253.85045970721384
400,40,0.0,22.432457145950032,1.611995602768408,184.26806852405247
400,50,0.0,32.343952261666566,1.7603295929624474,175.71692983297984
400,60,0.0,22.271064984704527,1.7895490539086214,111.66668140303187
400,70,0.0,23.34414117818995,2.03185766268924,113.2648721638539
400,80,0.0,,2.3415336695037547,136.0450708903394
400,90,0.0,32.476527987079415,2.19037836088407,94.30588798208775
400,100,0.0,,2.443262177551886,88.05514530433797
500,10,0.0,69.12336514830932,1.123154808270052,386.134798869616
500,20,0.0,,1.4143685314801773,313.278660507884
500,30,0.0,,1.5776597713870562,251.886046892298
500,40,0.0,,1.6937515184838454,213.19742023072104
500,50,0.0,29.40973711780133,1.8457672812014916,181.64246401042251
500,60,0.0,40.44894463106736,2.0996644222822303,160.46620348971305
500,70,0.0,,2.214290476559299,108.78657543573836
500,80,0.0,43.327014792284615,2.206271693386759,80.79666400195758
500,90,0.0,101.389731304237,2.1598197216139354,110.7779782079086
500,100,0.0,29.585194242088203,2.594069068264003,67.54335641922567
600,10,0.0,75.80507758012351,1.1521103246980595,439.1253760810391
600,20,0.0,,1.421508236645695,284.22092744745134
600,30,0.0,37.607617536427625,1.5762388213720078,197.46857242802065
600,40,0.0,,1.7950966860517736,146.27782586869455
600,50,0.0,40.05938936584321,2.0694597082083246,183.8937996260861
600,60,0.0,33.85784891977591,2.1145618203406595,143.31494478668202
600,70,0.0,72.07674989392551,2.1963660610966738,103.71739811674048
600,80,0.0,46.582536619132526,2.5921569087195864,111.97762669580776
600,90,0.0,45.15526437205331,2.498788523107584,81.83528577331971
600,100,0.0,105.09932330778398,2.9574105566731053,156.64606231162975
700,10,0.0,76.50620951482183,1.1874865829482757,496.15100736229925
700,20,0.0,63.94030591848883,1.480130042688513,347.32237873166423
700,30,0.0,49.32060303473653,1.6327730009701338,202.61944440424412
700,40,0.0,30.760097968887244,1.8687019332921733,190.98104430463556
700,50,0.0,47.640100499925865,2.043092053619769,132.81780340869557
700,60,0.0,49.2164056839463,2.190859368747028,106.42919997178802
700,70,0.0,49.094154023284936,2.355711791985248,93.97303495022788
700,80,0.0,,2.6985160090881624,112.15633569387816
700,90,0.0,,2.8304281728697607,88.00679790998055
700,100,0.0,56.25974946826205,3.0738514005996525,95.94361780758484
800,10,0.0,77.17106748585155,1.2279472657078585,570.4260739585059
800,20,0.0,69.95657204885997,1.5448195533492468,375.960330014213
800,30,0.0,73.00440384274185,1.832265684925676,344.7145941691112
800,40,0.0,39.244369560612846,1.9999033640358208,217.7855980513527
800,50,0.0,126.9612071996002,1.873193369050068,146.65049459166795
800,60,0.0,90.60534260572904,2.4964467094602,212.8584466188816
800,70,0.0,41.50283752133854,2.3859077871316967,105.8558985546144
800,80,0.0,57.11968657659481,2.4944137444286745,86.77509318154176
800,90,0.0,59.56394749600475,3.070857069369281,103.40455554250312
800,100,0.0,158.1564414521091,3.13405607903796,219.9837896171161
900,10,0.0,73.96800624947755,1.263337430667286,610.9635772818442
900,20,0.0,75.79659594123441,1.5715082351249317,376.8047321055773
900,30,0.0,48.74676545058694,1.8200256375622703,310.5572703555053
900,40,0.0,81.40614601146265,2.105976577822248,277.4682308086777
900,50,0.0,,2.1776278178462625,125.71334750409284
900,60,0.0,98.50307656879636,2.660414327786308,201.6361905378469
900,70,0.0,,2.568094621007461,94.6118995337645
900,80,0.0,65.37850128693177,2.8440686154104204,120.73953204322292
900,90,0.0,105.40468916735904,2.8006568956160063,114.8729019602156
900,100,0.0,173.07711907952194,3.1208534718760683,250.4969966215003
1000,10,0.0,73.96554308316698,1.3087142381553454,689.5992094835655
1000,20,0.0,135.54517678926095,1.6710069630130695,560.5363442930988
1000,30,0.0,59.6884598305315,1.8906122031172008,307.09561124159035
1000,40,0.0,37.56221443487184,2.081246550335079,183.7472731539551
1000,50,0.0,88.54016106482779,2.46802291484702,221.653146391769
1000,60,0.0,,2.5689729846769698,151.50996130183088
1000,70,0.0,,3.035157004682412,215.99872118077664
1000,80,0.0,43.19096180439452,2.8170618172019672,72.6134860523074
1000,90,0.0,,3.012829680696862,161.82833025291842
1000,100,0.0,113.9875457839574,3.040217225453582,143.2302851883958
